0x1f3b5,0.106,0.288,0.606,0.5
0x27a1,0.013,0.827,0.16,0.147
0x1f61b,0.085,0.229,0.686,0.601
0x1f62c,0.267,0.272,0.461,0.194
0x1f46f,0.117,0.327,0.556,0.439
0x1f48e,0.057,0.325,0.618,0.561
0x1f33f,0.009,0.597,0.393,0.384
0x1f382,0.083,0.221,0.696,0.613
0x1f31f,0.059,0.554,0.386,0.327
0x1f52e,0.035,0.663,0.302,0.267
0x2757,0.159,0.582,0.259,0.1
0x1f46b,0.22,0.305,0.475,0.255
0x1f3c6,0.036,0.203,0.761,0.726
0x2716,0.046,0.597,0.357,0.311
0x261d,0.144,0.402,0.454,0.309
0x1f619,0.021,0.18,0.799,0.778
0x26c4,0.077,0.325,0.598,0.521
0x1f445,0.124,0.29,0.585,0.461
0x266a,0.083,0.301,0.617,0.534
0x1f342,0.036,0.38,0.583,0.547
0x1f48f,0.181,0.25,0.569,0.388
0x1f52a,0.21,0.511,0.28,0.07
0x1f334,0.077,0.32,0.602,0.525
0x1f448,0.085,0.407,0.508,0.424
0x1f339,0.023,0.354,0.623,0.6
0x1f646,0.092,0.316,0.592,0.5
0x279c,0.052,0.734,0.214,0.162
0x1f47b,0.17,0.433,0.398,0.228
0x1f4b0,0.158,0.433,0.409,0.251
0x1f37b,0.107,0.274,0.619,0.512
0x1f645,0.458,0.286,0.256,-0.202
0x1f31e,0.024,0.394,0.582,0.558
0x1f341,0.037,0.445,0.518,0.482
0x2b50,0.037,0.346,0.617,0.58
0x25aa,0.099,0.605,0.296,0.198
0x1f380,0.044,0.283,0.673,0.629
0x2501,0.094,0.635,0.27,0.176
0x2637,0.019,0.898,0.083,0.064
0x1f437,0.077,0.477,0.445,0.368
0x1f649,0.176,0.314,0.51,0.333
0x1f33a,0.02,0.412,0.569,0.549
0x1f485,0.184,0.243,0.572,0.388
0x1f436,0.086,0.252,0.662,0.576
0x1f31a,0.159,0.219,0.623,0.464
0x1f47d,0.094,0.497,0.409,0.315
0x1f3a4,0.122,0.279,0.599,0.476
0x1f46d,0.143,0.252,0.605,0.463
0x1f3a7,0.131,0.324,0.545,0.414
0x1f446,0.121,0.433,0.447,0.326
0x1f378,0.092,0.277,0.631,0.539
0x1f377,0.057,0.493,0.45,0.393
0xae,0.071,0.579,0.35,0.279
0x1f349,0.079,0.245,0.676,0.597
0x1f607,0.072,0.268,0.659,0.587
0x2611,0.022,0.855,0.123,0.101
0x1f3c3,0.094,0.406,0.5,0.406
0x1f63f,0.577,0.219,0.204,-0.372
0x2502,0.007,0.642,0.35,0.343
0x1f4a3,0.306,0.381,0.313,0.007
0x1f37a,0.067,0.373,0.56,0.493
0x25b6,0.06,0.672,0.269,0.209
0x1f632,0.386,0.295,0.318,-0.068
0x1f3b8,0.016,0.453,0.531,0.516
0x1f379,0.048,0.246,0.706,0.659
0x1f4ab,0.04,0.419,0.54,0.5
0x1f4da,0.189,0.287,0.525,0.336
0x1f636,0.425,0.292,0.283,-0.142
0x1f337,0.008,0.445,0.546,0.538
0x1f49d,0.076,0.203,0.72,0.644
0x1f4a8,0.11,0.398,0.492,0.381
0x1f3c8,0.068,0.333,0.598,0.53
0x1f48d,0.148,0.226,0.626,0.478
0x2614,0.193,0.325,0.482,0.289
0x1f478,0.061,0.272,0.667,0.605
0x1f1ea,0.027,0.33,0.643,0.616
0x2591,0.234,0.577,0.189,-0.045
0x1f369,0.145,0.327,0.527,0.382
0x1f47e,0.019,0.602,0.38,0.361
0x2601,0.14,0.411,0.449,0.308
0x1f33b,0.019,0.393,0.589,0.57
0x1f635,0.321,0.274,0.406,0.085
0x1f4d2,0.01,0.943,0.048,0.038
0x21bf,0.01,0.333,0.657,0.648
0x1f42f,0.049,0.427,0.524,0.476
0x1f47c,0.176,0.314,0.51,0.333
0x1f354,0.168,0.386,0.446,0.277
0x1f638,0.12,0.35,0.53,0.41
0x1f476,0.141,0.283,0.576,0.434
0x21be,0.01,0.333,0.657,0.646
